csa,city,csa_label,lat,long,TOTAL,RE_UNK,RE_AI_AN,RE_AS,RE_BL_AA,RE_MR,RE_WH,RE_HI_LA,RE_NH_PI,AB_UNK,AB_LT18,AB_18_24,AB_25_39,AB_40_54,AB_55_64,AB_GT65,Individual,Family,ST_PH,ST_IH,OC_PH,OC_IH
Alhambra,Alhambra,City of Alhambra,34.08395998,-118.1355054,19,0,1,1,4,1,4,8,0,0,0,17,0,2,0,0,19,0,0,19,0,5
Altadena,Unincorporated,Unincorporated - Altadena,34.19348215,-118.1356718,20,0,0,0,3,1,7,9,0,0,0,0,16,3,1,0,20,0,0,20,0,13
Artesia,Artesia,City of Artesia,33.86757664,-118.0806299,235,9,3,6,50,1,64,101,1,0,0,5,53,74,68,35,233,2,0,235,0,112
Athens-Westmont,Unincorporated,Unincorporated - Athens-Westmont,33.93403128,-118.3024838,82,0,1,0,44,2,16,19,0,0,15,3,7,13,23,21,66,16,35,47,1,4
Bassett,Unincorporated,Unincorporated - Bassett,34.0571444,-117.9774063,81,1,0,7,7,0,20,46,0,0,0,5,20,30,20,6,81,0,0,81,0,38
Bell,Bell,City of Bell,33.98005806,-118.179784,303,7,3,9,99,5,56,123,1,0,0,8,76,102,84,33,302,1,0,303,0,108
Bellflower,Bellflower,City of Bellflower,33.88801979,-118.127136,181,5,1,2,23,3,65,81,1,0,29,23,35,53,33,8,140,41,87,94,0,29
Boyle Heights,Los Angeles,Los Angeles - Boyle Heights,34.03814773,-118.2053304,970,23,7,10,377,16,134,394,9,4,230,32,224,199,204,77,596,374,578,392,6,71
Burbank,Burbank,City of Burbank,34.1878976,-118.3234899,83,0,1,1,30,0,15,34,2,0,11,52,7,6,4,3,66,17,32,51,0,25
Canoga Park,Los Angeles,Los Angeles - Canoga Park,34.20809561,-118.60083,72,0,0,2,13,1,34,21,1,0,0,1,12,22,23,14,72,0,0,72,0,13
Carthay,Los Angeles,Los Angeles - Carthay,34.07124054,-118.3728937,110,3,0,1,54,0,30,22,0,0,0,0,11,33,36,30,110,0,0,110,0,24
Central,Los Angeles,Los Angeles - Central,34.01639853,-118.2581412,61,0,0,1,39,1,4,16,0,0,7,9,14,16,15,0,52,9,41,20,0,1
Century City,Los Angeles,Los Angeles - Century City,34.05271484,-118.4193992,205,4,1,5,73,4,86,31,1,0,0,4,15,54,75,57,204,1,0,205,0,78
Century Palms/Cove,Los Angeles,Los Angeles - Century Palms/Cove,33.93264106,-118.267985,185,17,1,0,128,1,2,35,1,1,94,25,38,13,12,2,41,144,16,169,0,18
Cheviot Hills,Los Angeles,Los Angeles - Cheviot Hills,34.04127711,-118.4088008,141,4,1,2,54,1,54,24,1,0,0,1,19,47,39,35,141,0,0,141,0,17
Chinatown,Los Angeles,Los Angeles - Chinatown,34.06145983,-118.2409687,161,5,0,4,69,2,32,48,1,0,0,2,30,43,53,33,160,1,0,161,0,39
Cloverdale/Cochran,Los Angeles,Los Angeles - Cloverdale/Cochran,34.03894103,-118.3560074,94,4,1,1,48,0,19,21,0,0,0,9,35,31,15,4,94,0,0,94,0,40
Commerce,Commerce,City of Commerce,33.99634406,-118.1519116,37,0,0,0,15,1,11,9,1,0,0,0,4,14,16,3,37,0,0,37,0,0
Compton,Compton,City of Compton,33.89293695,-118.2275295,68,0,0,1,48,0,7,12,0,0,9,3,18,20,16,2,54,14,0,68,0,15
Covina,Covina,City of Covina,34.09026449,-117.8818201,7,1,0,0,0,0,0,6,0,0,5,0,2,0,0,0,0,7,0,7,0,3
Crenshaw District,Los Angeles,Los Angeles - Crenshaw District,34.02305658,-118.3358765,50,1,3,0,15,0,8,23,0,0,30,3,12,4,1,0,4,46,0,50,0,24
Crestview,Los Angeles,Los Angeles - Crestview,34.04959498,-118.3786575,40,2,0,0,22,2,0,14,0,0,19,3,9,7,2,0,7,33,0,40,0,14
Culver City,Culver City,City of Culver City,34.00579664,-118.3968069,78,2,0,0,50,1,4,20,1,0,42,9,19,7,1,0,9,69,0,78,0,33
Del Rey,Los Angeles,Los Angeles - Del Rey,33.98976373,-118.4243119,43,0,0,1,15,1,15,11,0,0,0,0,6,11,19,7,42,1,43,0,2,0
Downey,Downey,City of Downey,33.93786052,-118.1311495,2,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,2,0,0,2,0,0
Downtown,Los Angeles,Los Angeles - Downtown,34.04472376,-118.2578043,2349,75,20,29,1057,50,535,574,9,3,52,138,481,824,632,219,2256,93,751,1598,28,420
Duarte,Unincorporated,Unincorporated - Duarte,34.12409018,-117.9932886,39,0,0,1,10,0,9,19,0,0,0,1,8,20,10,0,39,0,0,39,0,23
Eagle Rock,Los Angeles,Los Angeles - Eagle Rock,34.13520689,-118.2052091,27,2,0,0,7,0,4,14,0,0,0,0,9,7,8,3,27,0,0,27,0,15
East Los Angeles,Unincorporated,Unincorporated - East Los Angeles,34.03267163,-118.1691862,72,0,0,2,7,0,4,59,0,3,39,7,12,6,4,1,10,62,72,0,0,0
East Rancho Dominguez,Unincorporated,Unincorporated - East Rancho Dominguez,33.8948561,-118.195596,49,1,1,1,12,1,10,23,0,0,0,0,9,12,17,11,49,0,0,49,0,13
Echo Park,Los Angeles,Los Angeles - Echo Park,34.08217654,-118.2550011,115,2,1,0,18,1,7,86,0,1,51,14,20,20,6,3,22,93,26,89,0,7
El Monte,El Monte,City of El Monte,34.07394729,-118.0290743,98,1,0,0,18,2,26,50,1,2,11,3,21,17,27,17,84,14,11,87,4,20
El Segundo,El Segundo,City of El Segundo,33.91689825,-118.402004,107,4,0,0,86,0,9,8,0,0,0,1,20,33,42,11,106,1,0,107,0,15
Exposition,Los Angeles,Los Angeles - Exposition,34.02662391,-118.3497778,85,3,0,2,48,0,17,15,0,0,0,0,10,18,39,18,83,2,27,58,13,14
Exposition Park,Los Angeles,Los Angeles - Exposition Park,34.01859955,-118.2979186,194,2,1,3,128,2,21,36,1,0,0,17,67,66,35,9,191,3,62,132,1,72
Figueroa Park Square,Los Angeles,Los Angeles - Figueroa Park Square,33.93255929,-118.286739,5,0,0,0,1,0,2,2,0,0,0,0,0,1,4,0,5,0,0,5,0,0
Florence-Firestone,Los Angeles,Los Angeles - Florence-Firestone,33.97489626,-118.2673756,121,1,0,1,88,1,6,24,0,0,20,20,26,32,18,5,94,27,78,43,0,8
Florence-Firestone,Unincorporated,Unincorporated - Florence-Firestone,33.96813644,-118.2446288,23,0,0,0,0,5,0,18,0,0,15,0,6,2,0,0,3,20,0,23,0,0
