csa,lat,long,es_20200107_roc,th_20200107_roc,psh_20200107_roc,es_20200108_roc,th_20200108_roc,psh_20200108_roc,es_20200109_roc,th_20200109_roc,psh_20200109_roc,es_20200210_roc,th_20200210_roc,psh_20200210_roc,es_20200211_roc,th_20200211_roc,psh_20200211_roc,es_20200212_roc,th_20200212_roc,psh_20200212_roc,es_20200301_roc,th_20200301_roc,psh_20200301_roc,es_20200302_roc,th_20200302_roc,psh_20200302_roc,es_20200303_roc,th_20200303_roc,psh_20200303_roc,es_20200404_roc,th_20200404_roc,psh_20200404_roc,es_20200405_roc,th_20200405_roc,psh_20200405_roc,es_20200406_roc,th_20200406_roc,psh_20200406_roc,es_cur_csa,inflow_202001,inflow_202002,inflow_202003,inflow_202004
Downtown,34.04472376,-118.2578043,92.59,0,0,92.59,0,0,92.59,0,0,92.59,0,0,92.59,0,0,92.59,0,0,92.59,0,0,92.59,0,0,92.59,0,0,92.59,0,0,92.59,0,0,92.59,0,0,156,156,156,156,156
Duarte,34.12409018,-117.9932886,64.29,0,0,64.29,0,0,64.29,0,0,64.29,0,0,64.29,0,0,64.29,0,0,64.29,0,0,64.29,0,0,64.29,0,0,64.29,0,0,64.29,0,0,64.29,0,0,23,23,23,23,23
Eagle Rock,34.13520689,-118.2052091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15
East Los Angeles,34.03267163,-118.1691862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Rancho Dominguez,33.8948561,-118.195596,-62.5,0,0,-62.5,0,0,-62.5,0,0,-62.5,0,0,-62.5,0,0,-62.5,0,0,-62.5,0,0,-62.5,0,0,-62.5,0,0,-62.5,0,0,-62.5,0,0,-62.5,0,0,3,3,3,3,3
Echo Park,34.08217654,-118.2550011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
El Monte,34.07394729,-118.0290743,33.33,0,0,33.33,0,0,33.33,0,0,33.33,0,0,33.33,0,0,33.33,0,0,33.33,0,0,33.33,0,0,33.33,0,0,33.33,0,0,33.33,0,0,33.33,0,0,8,8,8,8,8
El Segundo,33.91689825,-118.402004,-60,0,0,-60,0,0,-60,0,0,-60,0,0,-60,0,0,-60,0,0,-60,0,0,-60,0,0,-60,0,0,-60,0,0,-60,0,0,-60,0,0,6,6,6,6,6
Exposition,34.02662391,-118.3497778,-28.57,0,0,-28.57,0,0,-28.57,0,0,-28.57,0,0,-28.57,0,0,-28.57,0,0,-28.57,0,0,-28.57,0,0,-28.57,0,0,-28.57,0,0,-28.57,0,0,-28.57,0,0,5,5,5,5,5
Exposition,34.02662391,-118.3497778,-28.57,0,0,-28.57,0,0,-28.57,0,0,-28.57,0,0,-28.57,0,0,-28.57,0,0,-28.57,0,0,-28.57,0,0,-28.57,0,0,-28.57,0,0,-28.57,0,0,-28.57,0,0,5,5,5,5,5
